Date,Open,High,Low,Close,Volume
3/15/2018,7441.02,7607.44,6834.28,7354.11,14761313280
3/16/2018,7367.98,7625.72,7030.01,7293.87,11384398848
3/17/2018,7293.89,7371.03,6651.14,6757.47,9797763072
3/18/2018,6742.46,7014.97,5899.33,6916.44,15925268480
3/19/2018,6989.99,7582.98,6738.54,7517.86,16329711616
3/20/2018,7515.71,8003.89,7105.93,7755.15,16083185664
3/21/2018,7784.64,8151.35,7524.48,7754.05,14653053952
3/22/2018,7761.7,8008.77,7252.85,7567.11,13362782208
3/23/2018,7561.78,7708.33,7094.47,7591.1,13394025472
3/24/2018,7631.93,7921.37,7397.71,7514.36,12334786560
3/25/2018,7454.98,7666.09,7290.82,7423.78,9806081024
3/26/2018,7423.74,7498.36,6654.8,7004.33,13215723520
3/27/2018,6997.7,7105.89,6493.25,6623.27,12636923904
3/28/2018,6618.57,6955.96,6547.61,6706.97,11150396416
3/29/2018,6718.57,6755.19,5883.01,5947.64,14411816960
3/30/2018,5941.71,6172.95,5589.03,5857.54,14150841344
3/31/2018,5874.26,6197.36,5760.91,5874.29,10024701952
4/1/2018,5887.16,5980.18,5366.18,5652.68,10131234816
4/2/2018,5663.25,6042.82,5605.42,5923.09,9462218752
4/3/2018,5935.86,6542.45,5879.44,6430.98,12142850048
4/4/2018,6409.15,6474.62,5703.72,5785.35,10768077824
4/5/2018,5791.62,6030.27,5543.96,5843.9,12584049664
4/6/2018,5831.59,5932.21,5534.19,5647.54,8702090240
4/7/2018,5648.86,6016.8,5628.38,5869.18,8370867712
4/8/2018,5871.78,6082.79,5833.42,6003.55,7395304960
4/9/2018,6013.22,6269.88,5734.98,5887.09,10631796736
4/10/2018,5897.03,6071.48,5784.21,6010.4,9269529600
4/11/2018,6016.3,6379.43,5950.74,6316.49,12001388544
4/12/2018,6312.98,7225.22,6118.32,7157.05,22156900352
4/13/2018,7159.12,7708.19,6939.5,7128.34,19548403712
4/14/2018,7117.43,7436.54,6986.43,7217.29,12506518528
4/15/2018,7237.75,7737.92,7192.46,7681.02,13068095488
4/16/2018,7678.85,7877.78,7201.43,7554.72,13925556224
4/17/2018,7557.03,7885.94,7347.95,7457.5,16408082432
4/18/2018,7466.87,8101.57,7422.86,8018,15271882752
4/19/2018,8030.57,8501.13,7935.91,8436.02,16932458496
4/20/2018,8439.76,9275.46,8281.09,9184.99,23013994496
4/21/2018,9195.35,9348.31,8458.73,8978.39,20670601216
4/22/2018,8957.66,9334.35,8759.56,9002.43,17463912448
4/23/2018,8984.65,9523.49,8950.83,9418.43,18421800960
4/24/2018,9427.33,10498.2,9392.05,10257,31069673472
4/25/2018,10215.5,10378,8783.62,9096.76,33566947328
4/26/2018,9121.31,9909.93,8846.57,9830.44,24162834432
4/27/2018,9828.72,10150.1,9405.99,9530.89,21728731136
4/28/2018,9502.82,10427.2,9492.19,10254,22373482496
